iter	Passed	Remaining
0	0	78
1	1	71
2	2	69
3	2	64
4	3	65
5	4	64
6	4	63
7	5	63
8	6	61
9	6	60
10	7	60
11	8	59
12	8	58
13	9	57
14	10	56
15	10	55
16	11	55
17	11	54
18	12	53
19	13	53
20	13	52
21	14	51
22	15	51
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	19	46
29	19	46
30	20	45
31	21	45
32	22	45
33	23	44
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	40
41	28	38
42	28	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	31
54	37	30
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	27
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	57	11
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	61	6
90	63	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
